time,open,close,high,low,volume
1738069200000,102570.8,102567.0,102913.5,102442.0,422.13
1738072800000,102567.0,102611.7,102874.2,101778.8,1536.67
1738076400000,102611.9,102738.3,103794.3,102463.2,1590.86
1738080000000,102738.3,102225.5,102882.0,101895.4,977.45
1738083600000,102225.5,102537.7,103072.9,102182.6,821.86
1738087200000,102537.9,102169.6,103088.8,102124.6,825.84
1738090800000,102169.4,102390.1,102635.4,101778.6,726.01
1738094400000,102388.4,101234.1,102508.4,101203.2,867.70
1738098000000,101234.1,100300.4,101500.0,100240.8,955.65
1738101600000,100300.4,101236.5,101374.7,100250.0,789.68
1738105200000,101236.7,101300.3,101418.8,100712.0,427.74
1738108800000,101300.3,101667.5,101784.6,101290.0,471.81
1738112400000,101667.7,101809.7,101966.1,101428.9,328.83
1738116000000,101809.1,101760.7,102282.0,101670.0,375.78
1738119600000,101760.9,102004.4,102137.7,101740.6,324.11
1738123200000,102004.4,101974.2,102163.8,101927.6,199.49
1738126800000,101972.1,102234.9,102365.1,101953.6,279.29
1738130400000,102234.9,102780.0,102821.1,102206.1,546.38
1738134000000,102779.9,102727.5,102780.0,102430.1,417.26
1738137600000,102727.3,102717.4,103031.3,102648.0,526.55
1738141200000,102716.3,102310.7,102759.0,102282.2,454.98
1738144800000,102311.4,102519.0,102708.1,102190.0,409.57
1738148400000,102520.3,102607.0,102783.9,102384.3,253.04
1738152000000,102607.0,102215.8,102793.1,102193.9,489.34
1738155600000,102215.8,101807.8,102317.4,101674.3,884.47
1738159200000,101807.8,102001.6,102356.8,101545.2,928.37
1738162800000,102020.0,101946.8,102504.0,101754.3,650.42
1738166400000,101946.6,102066.8,102140.1,101648.3,623.02
1738170000000,102066.8,102383.3,102759.0,101975.8,724.75
1738173600000,102383.5,102817.9,102980.0,101970.1,1034.96
1738177200000,102817.5,103567.2,103999.0,101370.9,3885.17
1738180800000,103567.5,104183.5,104761.1,102834.1,2296.21
1738184400000,104171.5,103706.7,104378.5,103686.6,937.53
1738188000000,103703.3,103458.1,104001.3,103366.4,485.95
1738191600000,103458.1,103715.1,104324.0,103431.0,438.80
1738195200000,103715.3,104004.9,104111.9,103256.9,455.76
1738198800000,104004.9,104245.4,104536.1,103893.0,393.99
1738202400000,104245.6,104658.4,104664.3,103959.2,378.45
1738206000000,104659.9,105176.5,105300.0,104478.4,717.60
1738209600000,105172.2,105461.2,105584.0,104834.6,615.87
1738213200000,105461.2,105365.1,105506.7,105025.2,498.79
1738216800000,105365.1,105166.1,105555.7,105140.7,380.05
1738220400000,105166.3,105112.7,105329.1,104793.3,455.44
1738224000000,105112.7,105040.1,105323.6,104911.0,303.98
1738227600000,105040.3,105400.1,105537.8,104987.1,364.97
1738231200000,105402.6,105324.6,105402.6,105093.1,261.17
1738234800000,105324.4,105290.3,105380.0,105045.3,249.86
1738238400000,105290.3,105000.0,105302.5,104845.2,307.10
1738242000000,105002.2,104859.9,105335.5,104821.0,568.68
1738245600000,104855.6,105897.3,106193.0,104633.8,1555.94
1738249200000,105894.2,105533.4,106420.9,105371.2,1236.26
1738252800000,105533.4,105671.3,105971.6,105432.0,405.67
1738256400000,105671.3,105259.5,105671.3,104888.0,679.46
1738260000000,105261.7,105541.5,105552.0,104716.5,504.23
1738263600000,105541.3,105682.0,105758.7,105200.0,295.52
1738267200000,105681.8,104862.8,105788.8,104800.0,628.50
1738270800000,104860.7,105013.9,105181.8,104752.7,345.51
1738274400000,105013.9,105063.8,105320.9,104940.2,160.16
1738278000000,105063.8,104701.4,105230.0,104655.3,285.92
1738281600000,104701.2,104868.6,104991.0,104375.7,666.63
1738285200000,104868.6,104705.7,104888.4,104388.9,390.33
1738288800000,104706.0,104310.5,104832.8,104228.1,444.64
1738292400000,104310.7,104299.5,104355.5,103900.0,671.53
1738296000000,104299.3,103984.0,104523.6,103933.4,488.50
1738299600000,103984.0,104284.4,104460.2,103980.2,348.18
1738303200000,104284.2,104480.4,104720.0,104242.3,384.99
1738306800000,104480.4,104164.1,104778.8,104004.0,615.46
1738310400000,104164.1,103989.1,104299.4,103988.0,536.76
1738314000000,103988.9,104227.0,104290.0,103895.0,351.00
1738317600000,104227.2,104255.8,104416.0,104040.0,278.79
1738321200000,104255.7,104694.7,104832.1,104254.3,705.84
1738324800000,104697.1,104676.8,104897.1,104535.5,365.33
1738328400000,104676.8,104634.0,104993.5,104523.3,560.02
1738332000000,104634.0,104419.0,104838.8,104074.7,735.26
1738335600000,104418.8,105427.4,106000.0,104418.8,1781.64
1738339200000,105422.6,105052.9,105555.0,104687.5,999.10
1738342800000,105052.7,104551.1,105056.8,104504.4,614.75
1738346400000,104551.1,102616.3,104795.4,102572.3,2040.52
1738350000000,102614.6,102273.8,102991.3,102095.2,1357.46
1738353600000,102273.8,101645.7,102313.6,101577.0,1421.86
1738357200000,101645.5,102100.0,102111.2,101503.1,780.39
1738360800000,102100.2,102223.0,102444.0,101875.0,517.96
1738364400000,102223.0,102397.1,102400.0,101911.1,236.60
1738368000000,102397.1,102456.4,102529.9,102162.0,332.66
1738371600000,102456.4,102531.1,102733.0,102415.0,328.41
1738375200000,102531.1,102417.5,102740.0,102359.0,279.48
1738378800000,102417.5,102202.2,102479.5,102154.0,265.97
1738382400000,102202.2,102275.6,102449.3,102090.0,310.92
1738386000000,102275.8,102453.7,102544.1,102201.9,195.81
1738389600000,102453.9,102372.0,102535.0,102134.3,173.58
1738393200000,102372.2,102143.4,102455.3,102141.9,203.82
1738396800000,102142.3,101985.7,102262.2,101801.9,406.16
1738400400000,101985.3,101646.8,101985.8,101380.0,619.21
1738404000000,101647.0,101600.1,101948.5,101600.0,437.08
1738407600000,101600.1,101991.9,102023.6,101600.0,245.42
1738411200000,101992.1,102233.9,102274.5,101966.1,378.11
1738414800000,102233.9,101837.8,102245.0,101784.4,329.95
1738418400000,101839.9,101801.7,102141.0,101778.5,329.29
1738422000000,101800.1,102045.1,102147.5,101693.2,457.74
1738425600000,102044.9,101868.5,102195.9,101837.5,244.31
